Letter,Thumb,Index,Middle,Ring,Pinky,IndexTouch,MiddleTouch,ThumbTouch
F,0.472,0.360,0.488,0.466,0.351,1,0,1
F,0.447,0.340,0.488,0.457,0.346,1,0,1
F,0.408,0.360,0.493,0.449,0.357,1,0,1
F,0.442,0.330,0.498,0.455,0.338,1,0,1
F,0.444,0.309,0.489,0.451,0.361,1,0,1
F,0.459,0.310,0.529,0.479,0.370,1,0,1
F,0.455,0.354,0.488,0.441,0.361,1,0,1
F,0.430,0.356,0.496,0.462,0.363,1,0,1
F,0.462,0.353,0.486,0.464,0.344,1,0,1
F,0.469,0.347,0.477,0.464,0.334,1,0,1
F,0.455,0.347,0.521,0.474,0.365,1,0,1
F,0.425,0.322,0.529,0.431,0.361,1,0,1
F,0.447,0.334,0.542,0.459,0.348,1,0,1
F,0.464,0.341,0.491,0.444,0.369,1,0,1
F,0.427,0.330,0.504,0.466,0.357,1,0,1
F,0.448,0.323,0.488,0.477,0.349,1,0,1
F,0.457,0.359,0.494,0.464,0.362,1,0,1
F,0.447,0.363,0.489,0.473,0.374,1,0,1
F,0.431,0.361,0.505,0.451,0.356,1,0,1
F,0.459,0.353,0.521,0.452,0.352,1,0,1
F,0.470,0.348,0.527,0.443,0.336,1,0,1
F,0.457,0.354,0.504,0.484,0.359,1,0,1
F,0.477,0.350,0.536,0.461,0.361,1,0,1
F,0.438,0.325,0.490,0.483,0.352,1,0,1
F,0.475,0.322,0.503,0.468,0.335,1,0,1
F,0.464,0.359,0.520,0.443,0.361,1,0,1
F,0.451,0.348,0.503,0.443,0.352,1,0,1
F,0.446,0.342,0.539,0.470,0.347,1,0,1
F,0.430,0.326,0.508,0.442,0.348,1,0,1
F,0.434,0.356,0.525,0.477,0.337,1,0,1
F,0.421,0.325,0.499,0.459,0.320,1,0,1
F,0.470,0.343,0.536,0.476,0.362,1,0,1
F,0.479,0.351,0.528,0.465,0.322,1,0,1
F,0.463,0.361,0.533,0.475,0.355,1,0,1
F,0.464,0.348,0.509,0.477,0.353,1,0,1
F,0.434,0.326,0.503,0.459,0.363,1,0,1
F,0.477,0.335,0.524,0.441,0.350,1,0,1
F,0.439,0.326,0.504,0.451,0.357,1,0,1
F,0.464,0.335,0.510,0.450,0.335,1,0,1
F,0.465,0.345,0.512,0.459,0.338,1,0,1
F,0.440,0.338,0.515,0.471,0.342,1,0,1
F,0.443,0.358,0.513,0.469,0.357,1,0,1
G,0.381,0.337,0.107,0.150,0.081,1,0,0
G,0.386,0.336,0.106,0.145,0.084,1,1,0
G,0.392,0.340,0.104,0.156,0.080,1,0,0
G,0.394,0.345,0.113,0.159,0.077,1,1,0
G,0.410,0.334,0.144,0.143,0.080,1,0,0
G,0.406,0.347,0.116,0.143,0.086,1,0,0
G,0.400,0.348,0.118,0.156,0.090,1,0,0
G,0.412,0.336,0.118,0.156,0.083,1,0,0
G,0.411,0.341,0.112,0.152,0.085,1,1,0
G,0.398,0.341,0.115,0.168,0.080,1,0,0
G,0.405,0.334,0.103,0.142,0.065,1,1,0
G,0.380,0.347,0.118,0.142,0.085,0,0,0
G,0.412,0.335,0.104,0.143,0.064,0,0,0
G,0.365,0.334,0.093,0.152,0.071,1,0,0
G,0.402,0.349,0.114,0.159,0.071,1,0,0
G,0.395,0.352,0.115,0.143,0.079,0,1,0
G,0.402,0.346,0.116,0.155,0.073,0,1,0
G,0.381,0.344,0.103,0.131,0.073,0,1,0
G,0.409,0.346,0.125,0.121,0.083,0,1,0
G,0.421,0.347,0.114,0.130,0.093,0,1,0
G,0.412,0.338,0.134,0.142,0.098,0,1,0
G,0.402,0.339,0.115,0.155,0.077,0,1,0
G,0.402,0.338,0.116,0.147,0.089,0,1,0
G,0.435,0.348,0.116,0.142,0.090,0,0,0
G,0.406,0.344,0.118,0.147,0.096,0,1,0
G,0.400,0.347,0.111,0.142,0.087,1,1,0
G,0.409,0.337,0.118,0.164,0.085,0,0,0
G,0.400,0.357,0.116,0.143,0.088,0,1,0
